1, 0, 323.08, 1.08, 64.85, 5.70
2, 0, 323.08, 1.08, 64.85, 5.70
3, 0, 329.13, 1.08, 70.41, 7.62
4, 0, 329.13, 1.08, 70.41, 7.62
1, 0, 337.28, 1.08, 79.56, 6.76
2, 0, 337.28, 1.08, 79.56, 6.76
1, 0, 307.92, 1.08, 70.04, 5.74
2, 0, 307.92, 1.08, 70.04, 5.74
1, 0, 313.32, 1.08, 60.89, 13.38
1, 0, 312.27, 1.08, 64.47, 5.28
2, 0, 312.27, 1.08, 64.47, 5.28
1, 0, 338.49, 1.09, 79.59, 6.72
2, 0, 338.49, 1.09, 79.59, 6.72
1, 0, 340.99, 1.09, 71.60, 5.74
2, 0, 319.29, 24.26, 128.01, 5.76
3, 0, 285.84, 24.26, 39.58, 18.02
4, 0, 319.29, 24.26, 127.99, 18.06
1, 0, 315.83, 1.08, 67.19, 5.82
2, 0, 315.83, 1.08, 67.28, 5.84
3, 0, 318.63, 1.08, 70.99, 7.40
1, 0, 315.36, 1.08, 57.50, 4.14
2, 0, 315.36, 1.08, 57.50, 4.14
3, 0, 337.03, 1.08, 60.80, 9.22
4, 0, 337.03, 1.08, 60.80, 9.22
5, 0, 323.42, 1.08, 65.20, 17.94
6, 0, 323.42, 1.08, 65.20, 17.94
1, 0, 332.12, 1.08, 58.77, 4.20
2, 0, 328.93, 1.08, 70.25, 13.42
3, 0, 324.93, 1.08, 66.74, 18.84
1, 0, 103.49, 3.91, 151.80, 2.20
1, 0, 321.03, 1.08, 75.08, 7.38
1, 0, 322.32, 1.08, 68.70, 25.24
2, 0, 325.25, 1.08, 54.01, 109.06
